Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (5YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (5YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Surf Coast (S)",5,9,128,97,21,14,110,8,147,77,15,19,24,23,13,143,26,72,20,22,0,76,20,73,97,14,1592,23,14,8,145,19,72,3,60,59,7,0,69,55,0,86,72,96,84,24,38,6,54,172,36,133,26,15,4,11,111,13,152,0,12,9,21,85,5,18769,5,0,15,44,12,0,97,45,10,243,107,73,4,21,11,11,0,48,24155,
"Swan Hill (RC)",0,10,43,11,9,6,4,4,8,30,87,27,16,33,0,13,11,10,7,17,111,8,0,0,110,13,33,26,3,0,7,16,32,0,5,16,7,18,17,4,0,8,4,7,17,97,12,3,15,6,9,22,28,9,4,0,5,30,8,5,0,10,8,7,0,5,13940,0,15,18,7,0,16,10,10,27,7,15,17,14,0,10,0,35,15248,
"Towong (S)",6,0,5,8,0,0,0,3,0,0,0,4,8,30,3,0,0,0,18,6,0,4,0,5,18,3,13,13,9,0,6,0,5,45,9,3,9,0,0,0,5,4,7,0,3,0,5,11,3,9,0,3,9,0,0,0,3,0,5,3,0,4,0,0,0,0,0,4118,13,0,0,0,6,4,149,9,0,26,3,0,0,9,0,12,4664,
"Wangaratta (RC)",212,5,30,47,10,10,6,287,49,19,4,24,24,54,10,10,0,39,21,37,5,16,3,7,58,17,57,76,3,0,19,6,50,165,30,50,7,14,27,17,34,10,25,29,21,11,30,127,29,34,13,47,26,9,3,16,23,8,29,4,0,0,0,13,23,4,10,21,20799,3,10,0,22,22,84,44,25,53,7,11,0,6,0,37,23254,
"Warrnambool (C)",9,37,113,43,20,3,20,4,33,29,0,4,9,48,8,56,331,54,14,31,0,23,164,16,82,13,193,34,16,12,31,59,35,6,37,19,19,3,26,14,8,23,46,38,32,38,7,12,38,44,19,42,39,7,1139,0,13,30,24,4,0,4,126,24,3,27,18,0,20,23253,15,10,24,30,8,82,28,20,5,12,0,14,0,168,27179,
"Wellington (S)",9,8,32,56,50,109,23,3,56,52,5,11,119,194,10,4,6,34,355,90,9,26,12,4,47,58,47,33,6,0,38,0,27,11,68,73,691,7,8,17,5,16,52,39,22,9,23,17,59,19,13,47,186,9,10,21,10,6,27,9,0,92,6,20,0,6,14,5,8,13,30243,3,44,23,18,46,18,149,5,17,3,18,0,92,33819,
"West Wimmera (S)",3,0,25,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,0,0,0,0,10,0,6,3,14,0,3,22,3,37,0,0,0,13,0,6,3,0,5,0,9,0,7,6,0,4,0,0,0,3,0,3,0,0,0,9,0,0,0,5,17,0,0,0,3,0,0,9,0,2866,0,0,0,9,0,10,7,0,0,0,0,5,3183,
"Whitehorse (C)",39,18,89,438,76,63,115,22,4276,220,6,32,115,519,4,11,20,517,95,154,3,526,11,14,128,389,189,75,9,10,126,25,98,18,322,1595,117,6,44,2451,7,170,1524,891,104,53,39,41,3001,206,15,409,169,20,17,47,195,14,353,4,5,63,8,689,13,28,26,4,55,27,78,14,100724,298,44,311,519,821,16,194,0,27,0,126,124355,
"Whittlesea (C)",19,3,91,4780,47,26,40,24,466,737,4,70,65,317,17,9,16,6570,54,109,11,210,16,8,183,322,196,209,8,15,198,22,2289,11,136,231,58,5,65,898,15,238,317,324,406,69,577,82,307,460,32,2051,135,10,3,269,2416,10,175,5,0,16,21,199,24,21,37,4,41,31,58,3,578,123785,68,411,344,311,10,313,9,9,0,272,153050,
"Wodonga (C)",175,7,48,48,3,15,14,76,33,55,3,38,28,88,3,12,7,43,30,52,13,28,15,5,72,40,61,99,8,0,32,15,37,676,29,67,18,3,20,25,23,21,27,32,37,31,57,98,27,51,3,51,41,7,22,10,15,13,18,0,0,15,11,14,17,0,9,299,202,14,28,0,34,27,25002,95,11,53,0,18,3,13,0,61,28522,
"Wyndham (C)",18,30,178,280,51,31,115,15,657,3996,9,60,99,587,14,55,18,675,71,155,14,941,30,34,142,643,1078,149,18,14,5332,23,689,9,438,275,114,7,90,206,12,2386,173,1248,1094,88,81,47,820,968,183,1046,105,25,11,14,47,29,725,24,0,22,9,551,10,45,62,7,26,72,51,3,534,480,62,124168,311,116,0,336,3,30,0,281,153680,
"Yarra (C)",22,16,159,684,42,51,318,16,2557,233,12,24,70,248,7,35,13,1391,51,137,0,472,14,16,109,148,362,70,15,4,166,16,145,29,241,285,76,0,87,557,10,311,347,2275,76,28,29,22,497,517,29,1233,259,54,23,8,316,7,1098,0,12,37,19,1371,11,78,24,7,39,47,55,5,771,254,35,163,38384,326,5,176,3,42,0,198,58112,
"Yarra Ranges (S)",7,12,50,244,97,80,145,23,479,60,0,32,628,667,9,8,19,235,42,213,3,241,9,13,84,201,100,56,11,0,80,6,74,8,209,3483,73,9,32,827,66,82,5923,143,74,22,44,31,507,79,23,225,200,11,19,217,246,4,213,4,0,32,12,149,17,24,10,11,24,24,38,5,1445,136,21,152,243,107576,11,219,0,37,0,214,127080,
"Yarriambiack (S)",0,21,32,0,0,3,0,0,6,7,21,9,9,17,4,0,0,6,3,13,4,0,4,7,18,5,26,6,8,41,5,104,15,0,5,3,12,3,20,0,0,3,6,3,30,18,7,0,4,0,3,4,23,3,6,0,0,18,4,8,0,3,0,0,0,0,11,0,5,3,5,9,6,9,4,8,0,16,4817,0,0,3,0,11,5502,
"Unincorporated Vic",14,0,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,3,10,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,320,0,0,8,448,
"No usual address (Vic.)",18,9,35,29,14,26,29,5,46,63,0,18,34,82,9,8,3,67,13,72,8,41,9,9,40,35,106,23,11,0,29,3,90,3,52,48,33,3,16,20,0,33,31,40,39,27,12,20,43,29,7,44,92,7,11,7,20,5,39,0,0,16,3,38,0,11,10,0,18,14,22,0,37,62,21,75,39,82,0,34,8,1088,0,45,3296,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,
"Total",9813,9290,78487,101631,24445,37123,77258,11381,134292,160850,5365,29955,65930,226521,10607,17528,13719,112118,34968,107586,8794,110303,16088,16977,85918,118929,180444,50769,12013,4895,71601,16457,149524,12479,122673,133526,60234,6234,36824,98582,6412,59751,90787,60187,97338,40594,29314,22747,143512,92408,24700,121902,121786,14479,13733,10940,54631,9768,68727,5567,2408,23270,13538,73382,8087,22595,16044,4790,23064,26562,33887,3270,130385,140650,27686,143717,58429,127224,5845,6900,554,2306,9,9252,4575241,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
