Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (1YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Glenelg (S)",0,14,18,0,5,0,0,0,5,3,0,0,3,0,0,6,7,8,0,9,0,3,16798,0,7,7,34,3,0,0,3,17,6,0,3,9,3,0,0,4,0,6,0,12,4,14,3,5,6,3,3,0,5,0,17,0,0,3,0,0,0,0,48,0,0,7,4,0,0,19,0,6,12,6,3,18,5,24,3,0,0,6,0,13,17253,
"Golden Plains (S)",0,5,388,5,0,0,7,0,5,7,0,0,10,3,5,4,5,6,5,4,0,0,0,18430,3,0,592,0,4,0,11,3,8,0,0,3,3,0,0,0,0,12,4,6,34,4,5,0,4,4,26,5,5,0,5,5,0,11,0,22,3,0,6,4,0,26,0,0,0,5,0,0,3,7,0,56,0,0,0,0,0,0,0,13,19824,
"Greater Bendigo (C)",10,21,92,59,23,19,16,19,42,46,56,280,19,84,58,18,3,98,7,46,88,27,6,7,94123,25,83,148,18,9,22,35,66,14,32,52,15,151,144,10,8,27,23,60,59,89,74,57,61,42,14,71,51,223,4,18,16,28,46,8,0,8,21,38,18,3,90,0,25,30,8,5,52,46,23,82,40,49,14,19,0,30,0,79,97751,
"Greater Dandenong (C)",0,0,23,37,7,27,94,0,76,171,0,0,165,1586,5,11,0,72,11,237,0,299,0,0,20,125411,37,51,0,0,43,6,59,3,983,242,29,0,3,67,0,77,70,91,60,20,0,3,1372,39,0,68,84,4,0,3,6,0,87,0,0,11,0,108,3,0,33,3,9,0,14,7,308,111,8,122,39,49,0,59,0,27,0,77,132766,
"Greater Geelong (C)",29,47,354,100,24,28,66,15,214,155,27,61,35,75,34,219,67,204,42,78,9,93,66,376,221,51,198137,117,28,9,246,94,123,6,75,77,60,11,78,56,110,153,83,186,162,57,52,27,115,178,82,242,69,28,46,22,49,38,156,15,136,20,63,129,8,746,38,5,35,137,46,3,152,127,29,714,135,81,25,36,4,43,0,172,206568,
"Greater Shepparton (C)",9,0,26,11,10,15,3,35,20,21,6,215,11,49,5,0,4,20,12,30,10,10,3,0,99,52,38,53473,4,0,11,5,34,7,8,36,14,6,6,8,9,10,19,30,17,15,36,214,9,18,4,29,29,3,6,0,5,3,9,0,0,0,8,6,66,0,9,0,12,4,3,0,14,43,25,23,15,20,0,13,0,16,0,68,55137,
"Hepburn (S)",5,3,202,11,3,0,12,0,18,12,4,3,5,9,13,0,0,37,3,10,0,13,0,9,19,0,27,0,12568,0,18,3,24,0,8,4,0,0,48,9,0,19,3,15,17,4,3,0,11,21,22,24,9,16,0,0,4,0,29,4,0,0,10,26,0,4,7,0,3,4,0,0,17,7,0,13,13,13,0,0,0,8,0,7,13443,
"Hindmarsh (S)",4,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,8,0,4,0,0,0,0,0,0,11,4,0,4917,0,34,0,4,9,0,0,0,10,0,0,0,3,3,5,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,11,0,6,10,0,0,0,0,7,5109,
"Hobsons Bay (C)",3,0,47,70,0,12,36,8,106,289,0,8,9,34,0,3,8,112,15,8,3,94,0,10,17,34,145,12,5,0,73513,3,91,8,50,41,9,0,18,41,0,724,19,320,146,15,5,0,64,150,36,147,20,7,3,0,16,3,320,0,4,8,0,128,4,22,9,0,3,6,9,0,49,53,0,1033,132,20,0,28,0,13,0,50,78435,
"Horsham (RC)",0,9,37,3,0,3,0,5,11,6,15,4,5,10,6,0,0,7,3,0,0,0,9,0,15,5,27,0,0,84,5,17109,5,0,0,0,7,0,0,5,0,0,10,0,9,15,0,0,0,6,3,3,5,0,4,0,0,19,5,11,0,4,21,0,0,0,8,0,0,10,0,25,7,5,3,21,0,3,108,0,0,0,0,14,17726,
"Hume (C)",0,6,43,137,14,13,16,0,64,599,0,18,36,117,8,4,0,474,3,22,4,41,11,0,73,122,70,82,9,0,103,15,166323,9,57,48,8,4,344,39,0,159,44,138,447,48,249,9,68,699,36,2007,33,18,5,12,29,3,63,3,0,12,3,49,0,3,16,0,6,7,8,4,58,1012,15,271,70,28,0,62,0,15,0,84,174739,
"Indigo (S)",42,0,0,10,0,6,3,7,11,4,0,8,0,8,0,0,0,16,3,6,0,4,0,0,0,0,5,7,3,0,0,0,0,13414,6,12,0,0,0,5,0,3,6,6,0,0,8,10,0,3,3,10,3,0,0,0,6,0,9,0,0,6,0,9,0,4,7,14,74,0,0,0,8,10,166,3,7,8,0,4,0,6,0,9,14020,
"Kingston (C)",0,4,35,60,23,26,1301,6,217,62,0,7,96,466,0,0,0,75,23,782,0,1387,9,0,12,629,55,10,5,0,51,6,39,0,126155,151,30,0,3,57,3,66,75,185,28,14,16,4,1042,52,5,100,263,11,0,13,10,0,462,0,0,10,0,325,0,8,5,0,15,0,11,0,218,45,3,93,94,61,0,51,4,13,0,67,135125,
"Knox (C)",5,0,18,59,22,27,33,3,227,67,0,13,145,467,9,5,0,75,16,118,0,166,0,0,15,285,41,9,0,0,28,0,21,0,170,132488,18,0,4,267,0,28,984,96,27,21,9,3,1680,52,0,45,85,4,0,0,21,8,63,0,0,9,4,149,0,8,3,0,0,9,31,0,1156,78,21,68,61,963,0,80,0,14,0,60,140691,
